t,imu_roll,imu_pitch,pid_roll,pid_pitch
1780015949.1716,0.000025,0.003327,-0.000005,-0.000666
1780015949.1876,0.000011,0.003255,0.000019,-0.000540
1780015949.2036,-0.000018,0.003177,0.000048,-0.000517
1780015949.2191,-0.000053,0.003102,0.000067,-0.000504
1780015949.2352,-0.000091,0.003033,0.000078,-0.000504
1780015949.2512,-0.000131,0.002971,0.000088,-0.000504
1780015949.2669,-0.000171,0.002917,0.000097,-0.000505
1780015949.2829,-0.000209,0.002871,0.000102,-0.000512
1780015949.2981,-0.000245,0.002835,0.000108,-0.000517
1780015949.3138,-0.000277,0.002807,0.000107,-0.000529
1780015949.3298,-0.000305,0.002789,0.000105,-0.000542
1780015949.3453,-0.000327,0.002781,0.000102,-0.000556
1780015949.3609,-0.000342,0.002783,0.000094,-0.000574
1780015949.3764,-0.000351,0.002796,0.000084,-0.000594
1780015949.3921,-0.000351,0.002818,0.000072,-0.000616
1780015949.4081,-0.000342,0.002852,0.000056,-0.000640
1780015949.4241,-0.000324,0.002896,0.000038,-0.000668
1780015949.4391,-0.000296,0.002952,0.000014,-0.000703
1780015949.4546,-0.000257,0.003019,-0.000010,-0.000733
1780015949.4706,-0.000206,0.003098,-0.000036,-0.000765
1780015949.4861,-0.000143,0.003188,-0.000071,-0.000807
1780015949.5022,-0.000068,0.003290,-0.000102,-0.000842
1780015949.5177,0.000021,0.003405,-0.000145,-0.000892
1780015949.5337,0.000123,0.003532,-0.000182,-0.000933
1780015949.5492,0.000239,0.003673,-0.000233,-0.000990
1780015949.5647,0.000369,0.003828,-0.000283,-0.001045
1780015949.5807,0.000515,0.003996,-0.000329,-0.001095
1780015949.5962,0.000676,0.004180,-0.000393,-0.001166
1780015949.6123,0.000852,0.004379,-0.000445,-0.001222
1780015949.6288,0.001045,0.004594,-0.000500,-0.001280
1780015949.6443,0.001303,0.004859,-0.000678,-0.001440
1780015949.6598,0.001576,0.005177,-0.000755,-0.001589
1780015949.6753,0.001880,0.005532,-0.000868,-0.001722
1780015949.6914,0.002219,0.005928,-0.000976,-0.001850
1780015949.7069,0.002598,0.006369,-0.001133,-0.002032
1780015949.7225,0.003021,0.006861,-0.001284,-0.002207
1780015949.7381,0.003491,0.007413,-0.001461,-0.002426
1780015949.7541,0.004006,0.008031,-0.001613,-0.002628
1780015949.7704,0.004567,0.008720,-0.001782,-0.002860
1780015949.7859,0.005172,0.009482,-0.002021,-0.003190
1780015949.8019,0.005820,0.010322,-0.002191,-0.003443
1780015949.8174,0.006402,0.010891,-0.002235,-0.003169
1780015949.8334,0.006887,0.011196,-0.002153,-0.002792
1780015949.8489,0.007256,0.011242,-0.002069,-0.002404
1780015949.8645,0.007495,0.011033,-0.001907,-0.001955
1780015949.8805,0.007739,0.010760,-0.001957,-0.001817
1780015949.8960,0.007982,0.010468,-0.002020,-0.001716
1780015949.9120,0.008220,0.010168,-0.002050,-0.001663
1780015949.9275,0.008450,0.009863,-0.002098,-0.001583
1780015949.9431,0.008667,0.009555,-0.002124,-0.001521
1780015949.9591,0.008869,0.009243,-0.002132,-0.001472
1780015949.9750,0.009050,0.008929,-0.002144,-0.001404
1780015949.9900,0.009208,0.008611,-0.002157,-0.001309
1780015950.0055,0.009339,0.008290,-0.002134,-0.001260
1780015950.0215,0.009439,0.007966,-0.002102,-0.001211
1780015950.0371,0.009503,0.007640,-0.002066,-0.001128
1780015950.0531,0.009527,0.007311,-0.002010,-0.001078
1780015950.0691,0.009508,0.006980,-0.001942,-0.001010
1780015950.0847,0.009441,0.006647,-0.001854,-0.000928
1780015950.1002,0.009321,0.006312,-0.001750,-0.000861
1780015950.1157,0.009147,0.005999,-0.001630,-0.000834
1780015950.1318,0.008934,0.005666,-0.001539,-0.000755
1780015950.1473,0.008664,0.005333,-0.001384,-0.000673
1780015950.1628,0.008328,0.004998,-0.001217,-0.000604
1780015950.1788,0.007922,0.004659,-0.001045,-0.000550
1780015950.1943,0.007436,0.004312,-0.000801,-0.000451
1780015950.2103,0.006865,0.003948,-0.000581,-0.000371
1780015950.2258,0.006208,0.003564,-0.000284,-0.000244
1780015950.2418,0.005460,0.003154,-0.000030,-0.000145
1780015950.2575,0.004618,0.002725,0.000318,-0.000012
1780015950.2735,0.003682,0.002281,0.000616,0.000081
1780015950.2890,0.002762,0.002175,0.000821,-0.000419
1780015950.3051,0.001888,0.002405,0.000871,-0.000995
1780015950.3207,0.001075,0.002968,0.000978,-0.001655
1780015950.3362,0.000340,0.003863,0.001007,-0.002374
1780015950.3521,-0.000340,0.004523,0.001028,-0.002105
1780015950.3681,-0.000938,0.004907,0.001011,-0.001743
1780015950.3837,-0.001434,0.005007,0.000971,-0.001327
1780015950.3992,-0.001973,0.005012,0.001156,-0.001177
1780015950.4149,-0.002541,0.004969,0.001308,-0.001094
1780015950.4309,-0.003128,0.004894,0.001436,-0.001031
1780015950.4469,-0.003729,0.004790,0.001577,-0.000970
1780015950.4625,-0.004339,0.004661,0.001742,-0.000899
1780015950.4780,-0.004951,0.004507,0.001876,-0.000830
1780015950.4940,-0.005561,0.004329,0.001965,-0.000766
1780015950.5091,-0.006163,0.004127,0.002134,-0.000671
1780015950.5248,-0.006752,0.003902,0.002195,-0.000602
1780015950.5406,-0.007323,0.003653,0.002279,-0.000519
1780015950.5556,-0.007871,0.003381,0.002399,-0.000407
1780015950.5716,-0.008391,0.003084,0.002404,-0.000339
1780015950.5871,-0.008887,0.002755,0.002497,-0.000206
1780015950.6031,-0.009350,0.002405,0.002514,-0.000122
1780015950.6192,-0.009772,0.002032,0.002540,-0.000012
1780015950.6347,-0.010149,0.001636,0.002567,0.000124
1780015950.6503,-0.010475,0.001214,0.002551,0.000243
1780015950.6663,-0.010745,0.000767,0.002511,0.000357
1780015950.6813,-0.010956,0.000293,0.002484,0.000541
1780015950.6968,-0.011101,-0.000209,0.002401,0.000661
1780015950.7128,-0.011188,-0.000727,0.002326,0.000766
1780015950.7288,-0.011203,-0.001286,0.002221,0.000942
1780015950.7443,-0.011145,-0.001891,0.002096,0.001166
1780015950.7599,-0.011012,-0.002549,0.001953,0.001381
1780015950.7754,-0.010800,-0.003260,0.001787,0.001614
1780015950.7914,-0.010510,-0.004021,0.001622,0.001807
1780015950.8069,-0.010142,-0.004825,0.001411,0.002079
1780015950.8219,-0.009811,-0.005293,0.001393,0.001658
1780015950.8374,-0.009540,-0.005423,0.001455,0.001117
1780015950.8531,-0.009345,-0.005219,0.001546,0.000543
1780015950.8689,-0.009078,-0.004871,0.001386,0.000250
1780015950.8846,-0.008753,-0.004427,0.001226,0.000003
1780015950.8996,-0.008338,-0.004113,0.000975,0.000129
1780015950.9151,-0.007843,-0.003861,0.000772,0.000196
1780015950.9307,-0.007277,-0.003646,0.000552,0.000217
1780015950.9462,-0.006650,-0.003462,0.000325,0.000230
1780015950.9613,-0.005968,-0.003306,0.000073,0.000239
1780015950.9768,-0.005239,-0.003178,-0.000116,0.000264
1780015950.9924,-0.004469,-0.003075,-0.000330,0.000288
1780015951.0079,-0.003665,-0.002999,-0.000550,0.000314
1780015951.0235,-0.002832,-0.002947,-0.000754,0.000347
1780015951.0390,-0.001977,-0.002922,-0.000967,0.000383
1780015951.0550,-0.001106,-0.002921,-0.001122,0.000426
1780015951.0703,-0.000225,-0.002946,-0.001377,0.000473
1780015951.0858,0.000661,-0.002997,-0.001544,0.000525
