t,imu_roll,imu_pitch,pid_roll,pid_pitch
1780013640.3002,0.000118,0.000294,-0.000024,-0.000059
1780013640.3066,0.000110,0.000291,0.000008,-0.000048
1780013640.3135,0.000103,0.000328,0.000006,-0.000203
1780013640.3199,0.000096,0.000410,0.000008,-0.000400
1780013640.3263,0.000090,0.000534,0.000008,-0.000594
1780013640.3322,0.000084,0.000697,0.000009,-0.000831
1780013640.3381,0.000078,0.000894,0.000009,-0.001012
1780013640.3435,0.000072,0.001117,0.000010,-0.001254
1780013640.3494,0.000067,0.001362,0.000008,-0.001312
1780013640.3548,0.000062,0.001622,0.000010,-0.001528
1780013640.3602,0.000058,0.001894,0.000009,-0.001632
1780013640.3662,0.000053,0.002172,0.000007,-0.001609
1780013640.3716,0.000049,0.002453,0.000008,-0.001791
1780013640.3784,0.000217,0.002200,-0.000655,0.000477
1780013640.3839,0.000267,0.001765,-0.000284,0.001652
1780013640.3893,0.000225,0.001269,0.000151,0.002032
1780013640.3952,0.000107,0.000756,0.000477,0.002019
1780013640.4011,-0.000073,0.000243,0.000780,0.002126
1780013640.4066,-0.000306,-0.000263,0.001119,0.002348
1780013640.4130,-0.000582,-0.000758,0.001195,0.002086
1780013640.4184,-0.000893,-0.001241,0.001613,0.002470
1780013640.4252,-0.001232,-0.001709,0.001480,0.002046
1780013640.4311,-0.001592,-0.002163,0.001850,0.002356
1780013640.4366,-0.001969,-0.002602,0.002126,0.002533
1780013640.4424,-0.002383,-0.002999,0.002240,0.002293
1780013640.4484,-0.002806,-0.003391,0.002342,0.002324
1780013640.4543,-0.003236,-0.003774,0.002474,0.002380
1780013640.4602,-0.003667,-0.004146,0.002562,0.002407
1780013640.4656,-0.004095,-0.004507,0.002802,0.002570
1780013640.4720,-0.004519,-0.004857,0.002571,0.002349
1780013640.4774,-0.005104,-0.005380,0.003700,0.003467
1780013640.4829,-0.005706,-0.005915,0.003902,0.003635
1780013640.4884,-0.006323,-0.006466,0.004088,0.003814
1780013640.4942,-0.006952,-0.007037,0.004080,0.003848
1780013640.5002,-0.007590,-0.007630,0.004212,0.004031
1780013640.5056,-0.008230,-0.008246,0.004614,0.004503
1780013640.5115,-0.008872,-0.008880,0.004491,0.004455
1780013640.5174,-0.009516,-0.009526,0.004647,0.004659
1780013640.5233,-0.010162,-0.010182,0.004798,0.004843
1780013640.5287,-0.010809,-0.010843,0.005160,0.005228
1780013640.5345,-0.011458,-0.011506,0.005078,0.005145
1780013640.5400,-0.011962,-0.012141,0.004724,0.005358
1780013640.5464,-0.012313,-0.012706,0.003857,0.004773
1780013640.5523,-0.012590,-0.012927,0.003711,0.003539
1780013640.5577,-0.012661,-0.012908,0.002884,0.002516
1780013640.5636,-0.012611,-0.012857,0.002333,0.002377
1780013640.5691,-0.012449,-0.012781,0.001776,0.002236
1780013640.5749,-0.012185,-0.012684,0.001338,0.002149
1780013640.5804,-0.011828,-0.012567,0.000767,0.002009
1780013640.5863,-0.011390,-0.012435,0.000449,0.001959
1780013640.5917,-0.010876,-0.012292,-0.000160,0.001830
1780013640.5971,-0.010292,-0.012137,-0.000604,0.001749
1780013640.6030,-0.009618,-0.011956,-0.000895,0.001659
1780013640.6085,-0.008877,-0.011769,-0.001571,0.001539
1780013640.6144,-0.008055,-0.011597,-0.001835,0.001630
1780013640.6198,-0.007176,-0.011412,-0.002559,0.001471
1780013640.6262,-0.006249,-0.011215,-0.002335,0.001516
1780013640.6331,-0.005281,-0.011007,-0.002421,0.001492
1780013640.6386,-0.004280,-0.010789,-0.003644,0.001216
1780013640.6437,-0.003251,-0.010561,-0.004341,0.001042
1780013640.6491,-0.002184,-0.010308,-0.004446,0.000947
1780013640.6550,-0.001097,-0.010050,-0.004346,0.000962
1780013640.6604,0.000002,-0.009781,-0.005029,0.000767
1780013640.6664,0.001106,-0.009501,-0.004843,0.000772
1780013640.6718,0.002212,-0.009210,-0.005505,0.000551
1780013640.6772,0.003308,-0.008911,-0.005672,0.000459
1780013640.6831,0.004391,-0.008610,-0.005435,0.000505
1780013640.6885,0.005461,-0.008313,-0.005993,0.000350
1780013640.6944,0.006516,-0.008025,-0.005736,0.000441
1780013640.7003,0.007550,-0.007743,-0.005860,0.000414
1780013640.7057,0.008565,-0.007464,-0.006337,0.000273
1780013640.7121,0.009413,-0.007212,-0.005167,0.000516
1780013640.7176,0.010087,-0.007020,-0.005075,0.000588
1780013640.7234,0.010585,-0.006912,-0.004197,0.000987
1780013640.7293,0.010904,-0.006901,-0.003501,0.001400
1780013640.7348,0.011126,-0.006825,-0.003217,0.001082
1780013640.7402,0.011104,-0.006659,-0.002093,0.000634
1780013640.7461,0.010932,-0.006592,-0.001431,0.001101
1780013640.7520,0.010625,-0.006579,-0.000793,0.001330
1780013640.7574,0.010204,-0.006598,-0.000082,0.001478
1780013640.7633,0.009680,-0.006646,0.000320,0.001606
1780013640.7692,0.009065,-0.006720,0.000788,0.001727
1780013640.7751,0.008342,-0.006837,0.001421,0.001935
1780013640.7810,0.007534,-0.006975,0.001927,0.002052
1780013640.7865,0.006651,-0.007136,0.002733,0.002241
1780013640.7924,0.005703,-0.007322,0.002914,0.002331
1780013640.7983,0.004698,-0.007532,0.003297,0.002466
1780013640.8042,0.003645,-0.007766,0.003781,0.002634
1780013640.8101,0.002552,-0.008027,0.004115,0.002782
1780013640.8165,0.001425,-0.008312,0.004140,0.002859
1780013640.8224,0.000251,-0.008633,0.004968,0.003181
1780013640.8278,-0.000947,-0.008975,0.005725,0.003451
1780013640.8337,-0.002164,-0.009340,0.005642,0.003510
1780013640.8391,-0.003394,-0.009729,0.006329,0.003816
1780013640.8450,-0.004631,-0.010145,0.006223,0.003890
1780013640.8504,-0.005873,-0.010587,0.006875,0.004230
1780013640.8563,-0.007114,-0.011056,0.006717,0.004298
1780013640.8617,-0.008354,-0.011555,0.007393,0.004695
1780013640.8672,-0.009589,-0.012082,0.007640,0.004944
1780013640.8731,-0.010828,-0.012632,0.007442,0.004955
1780013640.8785,-0.012062,-0.013229,0.008106,0.005485
1780013640.8844,-0.013291,-0.013879,0.007921,0.005646
1780013640.8898,-0.014512,-0.014587,0.008542,0.006273
1780013640.8962,-0.015727,-0.015350,0.007930,0.006158
1780013640.9021,-0.016935,-0.016162,0.008540,0.006781
1780013640.9076,-0.018136,-0.017019,0.009154,0.007433
1780013640.9135,-0.019175,-0.017953,0.008283,0.007666
1780013640.9199,-0.019965,-0.018775,0.007112,0.007070
1780013640.9263,-0.020496,-0.019502,0.006222,0.006862
1780013640.9322,-0.020776,-0.020134,0.005389,0.006826
1780013640.9381,-0.020811,-0.020658,0.004366,0.006483
1780013640.9435,-0.020609,-0.021070,0.003240,0.006238
1780013640.9494,-0.020171,-0.021361,0.002234,0.005638
1780013640.9548,-0.019500,-0.021526,0.000866,0.005200
1780013640.9602,-0.018600,-0.021559,-0.000373,0.004597
1780013640.9661,-0.017559,-0.021628,-0.000814,0.004757
1780013640.9715,-0.016392,-0.021724,-0.002035,0.004932
1780013640.9775,-0.015109,-0.021844,-0.002337,0.005021
1780013640.9829,-0.013725,-0.021986,-0.003572,0.005201
1780013640.9883,-0.012251,-0.022153,-0.004279,0.005352
1780013640.9942,-0.010694,-0.022348,-0.004400,0.005450
1780013641.0001,-0.009060,-0.022569,-0.005046,0.005609
1780013641.0055,-0.007354,-0.022815,-0.006281,0.005855
1780013641.0114,-0.005581,-0.023088,-0.006298,0.005934
1780013641.0174,-0.003747,-0.023385,-0.006876,0.006091
1780013641.0233,-0.001851,-0.023705,-0.007602,0.006271
1780013641.0292,0.000103,-0.024048,-0.008220,0.006438
1780013641.0356,0.002110,-0.024413,-0.008198,0.006491
1780013641.0415,0.004170,-0.024801,-0.009490,0.006788
